[2025-12-08 20:57:53.720] [info]  DiscordSplash.signalReady
[2025-12-08 20:57:53.724] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-12-08 20:57:53.725] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-12-08 20:57:53.726] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-12-08 20:57:53.726] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-12-08 20:57:53.729] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-12-08 20:57:53.730] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-12-08 20:57:53.730] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-12-08 20:57:53.731] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-12-08 20:57:53.731] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-12-08 20:57:53.731] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-12-08 20:57:53.733] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-12-08 20:57:53.733] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-12-08 20:57:53.734] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-12-08 20:57:53.734] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-12-08 20:57:54.050] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-12-08 20:57:54.050] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-12-08 20:57:54.440] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-12-08 20:57:54.440] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-12-08 20:57:54.446] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-12-08 20:57:54.446] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-12-08 20:57:54.448] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-12-08 20:57:54.448] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-12-08 20:57:54.449] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
